ep. 002 - 「ひまつぶし(N3)」

みなさんこんにちはトモです このポッドキャストは日本語教師の友がいろいろなテーマについて話をします
教科書の真面目な日本語だけじゃ面白くない でもドラマや映画は難しすぎる
そんな人の役に立てるポッドキャストを目指して頑張ります 今日は第2回
今日のテーマは 暇つぶしについてです
暇つぶしという言葉わかりますか 暇で何もすることがない面白くないそんな時にすることです
今はスマホがあるから暇つぶしが簡単になったけど でもずっとスマホだけ使っているのも面白くないし
ちょっと目とか肩とかも疲れますね なので今日はスマホ以外の暇つぶし
暇な時にすることはどんなことがあるのか 考えてみましょう
まず俺の場合は動くこと 前も自己紹介でちょっと話したけど運動とかスポーツが好きなので
時間があったらできるだけ動きます 動くのが体にもいいし
やっぱりストレス解消 嫌なことがあっても思いっきり動いて汗をかいたりするとスッキリします
気持ちがいいですね
ただちょっと問題があって
俺の趣味 つまり
俺の好きなものってインドアのものとアウトドアのものとどっちもあるんです インドアつまりドアの中
部屋の中でできることとあとはアウトドア 外に行って何かをすること
運動は好きだけど でも実は
外に出るのはあんまり好きじゃないんです
めんどくさいなって思っちゃって 外に出るために
服を着替えて 準備して
でもボクシングとかするなら着替えも必要だしタオルとか水とか あとはボクシングで使うグローブとか
いろんなものを持っていかなきゃいけないし あとは練習する場所も
車で大体15分ぐらいのところにボクシングのジムがあるから いつもそこに行って練習しています
でもそのジムも空いてる時間が決まってるし だからいつ行ってもできるというわけじゃないから
ボクシングはすごく好きだけどでもちょっと 行くのはめんどくさいなっていう気持ちも少しあります
で 外に出るのが
めんどくさい でも体を動かすのが好き
ということで あの
よく俺の場合は インドアで運動 部屋の中で運動をしています
部屋の中の運動って言っても あまり激しい運動
すごいもういっぱい動く走ったり飛んだりするスポーツはできないので ちょっとした運動ですね
例えばストレッチとか腹筋とか 腹筋ってわかりますか
お腹の筋肉です 上を向いて寝て
そして足は動かさないで体だけを起こす そしてもう1回寝る
これを何回もする 体を起こす寝る起こす寝る
と動くとお腹がお腹の筋肉が疲れますよね
これをこの運動を腹筋って言います でまぁ家では腹筋したりとか
あとは ちょっとこうシャドーボクシング
一人でボクシングの動きをしたりとかしますね まあこれこれ部屋の中で急に始めると
あの別にうるさくはないんですけどこの人何してんだろうみたいなちょっと白い目で 見られることもありますが
あと他の暇つぶしといえば 漫画
本も好きなんですけど漫画も大好きで 本当にこう
暇で時間がたくさんある例えば 夏の間の長い連休とか
そういう時は 漫画を借りることができる店が
日本には結構あって だいたい1冊100円とかすっごい安い時は1冊50円ぐらいかな
なので漫画って買うと1冊500円とか600円とかするから 10冊20冊買うとすごいお金もかかるし
あとは場所もね 場所も結構あの取るんですよね邪魔なんですよね
特に俺みたいに漫画が好きでたくさん読む人は あの100冊とか200冊とか当たり前のように読むから欲しい本を全部買うとお金も
場所もすっごいかかっちゃうんです でそこがレンタルなら
もう安い時は お金も10分の1そして場所も読んだら返せばいいだけだから
置く場所に困らない なので連休とか時間があって暇だなぁって思ったら漫画を読むことも多いですね
あと最近だと休みとかじゃなくてちょっとした暇つぶし 5分とか10分とかそのぐらいの細かい暇な時間ができたら
だいたいツイッターやってますね あとは他には
たまーにだけどゲームもしますね ゲームって言ってもあのスマホのゲームじゃないですよ
昔のゲーム ちょっとこう年齢はあまり言いたくないんですけど
スーパーファミコン あれ海外だと何だったかな
スーパーニンテンドーとかかな ちょっと名前が違うんですよね
有名なゲームだとスーパーマリオブラザーズ スーパーマリオワールドかな
ブラザーズだとファミコンかなファミリーコンピューター で多分
同じぐらいの年齢の人なら スーパーファミコンスーファミって言ってましたけど
スーファミがめちゃくちゃ面白かったっていうのが わかると思うので
ちょっとこの俺の気持ちもわかってもらえると思うんですけど たまーにやりたくなるんですよねあれ
んで小学校の時 小学生とか中学生の時によくやってたゲームで
ゲームなんて子供がやるものでしょ って思う人も
いるみたいなんですけどあれ大人がやっても 面白いんですよね
毎日何時間もやるっていうものじゃないけど たまにやると面白いんですよ
なかなかやめられないぐらい ゲームといえば
これは暇つぶしじゃなくて むしろ暇を作って時間を作って積極的にやるゲームですけど
そのスーパーファミコンの時代にすごく売れてた ff とかドラクエなんかは今でも
スマホに入ってますね ff っていうのはファイナルファンタジー
多分これは 世界中で有名なゲームだから知ってる人も多いかと思うんですけど
そのファイナルファンタジーの特に 45678ぐらいまでは子供の時に
何回もやった何回もやった大好きなゲームで 今でもそれは
暇つぶしじゃなくて たまにもう一度やりたいなって思った時に暇を作ってやるゲームですね
あとはさっきちょっと言ったドラクエこれはドラゴンクエストっていう これもその ff とファイナルファンタジーとだいたい同じぐらいの時期に日本でとても有名だった
有名だった?今でも有名か 今でもとても有名なゲームで
こっちもだいたい同じぐらいドラクエの456のあたりは 小学生中学生ぐらいの時に大好きで何回もやったゲームですね
ドラクエもいくつかやっぱりスマホに入ってます これも暇な時じゃなくてやりたくなったら暇を作って時間を作ってまた楽しんでます
さあこんなのが 私トモの
暇つぶし なんか仕事で
日本語を教えてますって言うとあ先生なんですかすごいですね なんて言われる時も結構多いんですけど
まあ確かに先生といつも呼ばれているけど でも
うちの学校は5時15分までなので5時15分からは俺は先生じゃありません 普通の
普通の一人の日本人なので やってることは
そんな真面目なことばかりじゃありませんあの先生って言っても いつも勉強してるわけじゃありません漫画も読めばゲームもするし
なんならゲームしてる時や漫画読んでる時片手は漫画片手は酒みたいな そんな感じの過ごし方をしてます
あの先生も真面目な時と不真面目な時があります はいじゃあ
長くなってきたし 今日はこの辺で終わりにしたいと思います今日のテーマは暇つぶしでした
暇つぶしって なんか国によって違いがあるんですかね
あの このポッドキャスト日本だけじゃなくていろいろな国の人が聞けると思いますから
あの私の国ではこんな暇つぶしがありますっていうのがあったらぜひ教えてください 次回のテーマはまだ決まってませんが
またこれからもサボらずに頑張って続けたいと思いますので次もよろしくお願いします それじゃあ皆さんさようなら
